,Player,Tm,season17_18
455,Ivan Rabb,MEM,"$950,000 "
456,Ike Anigbogu,IND,"$950,000 "
457,Gerald Green,HOU,"$947,248 "
458,Jason Thompson,GSW,"$945,126 "
459,Martell Webster,WAS,"$830,000 "
460,Frank Jackson,NOP,"$815,615 "
461,Jordan Bell,GSW,"$815,615 "
462,Dakari Johnson,OKC,"$815,615 "
463,Sterling Brown,MIL,"$815,615 "
464,Dillon Brooks,MEM,"$815,615 "
465,Jawun Evans,LAC,"$815,615 "
466,Sindarius Thornwell,LAC,"$815,615 "
467,Dwayne Bacon,CHO,"$815,615 "
468,Tyler Dorsey,ATL,"$815,615 "
469,Davon Reed,PHO,"$815,615 "
470,Royce O'Neale,UTA,"$815,615 "
471,Alfonzo McKinnie,TOR,"$815,615 "
472,Brandon Paul,SAS,"$815,615 "
473,Khem Birch,ORL,"$815,615 "
474,Thomas Bryant,LAL,"$815,615 "
475,Zhou Qi,HOU,"$815,615 "
476,Maxi Kleber,DAL,"$815,615 "
477,Daniel Theis,BOS,"$815,615 "
478,Sean Kilpatrick,MIL,"$789,725 "
479,Trey Burke,NYK,"$784,160 "
480,Alex Poythress,IND,"$778,668 "
481,Marco Belinelli,PHI,"$776,217 "
482,Joe Johnson,HOU,"$749,905 "
483,Dwight Buycks,DET,"$748,160 "
484,Tyler Cavanaugh,ATL,"$679,919 "
485,Carlos Delfino,LAC,"$650,000 "
486,Caron Butler,SAC,"$517,220 "
487,Jordan Farmar,LAC,"$510,921 "
488,Ersan Ilyasova,PHI,"$502,328 "
489,Leandro Barbosa,PHO,"$500,000 "
490,Tibor Pleiss,PHI,"$500,000 "
491,Michael Gbinije,DET,"$500,000 "
492,Aaron Gray,DET,"$452,059 "
493,Festus Ezeli,POR,"$333,334 "
494,C.J. Watson,ORL,"$333,334 "
495,Gal Mekel,DAL,"$315,760 "
496,Miroslav Raduljica,LAC,"$300,000 "
497,Cameron Oliver,HOU,"$300,000 "
498,Ramon Sessions,WAS,"$263,124 "
499,Jordan Crawford,NOP,"$250,000 "
500,Emeka Okafor,NOP,"$239,204 "
501,Wade Baldwin,POR,"$222,476 "
502,Isaiah Canaan,CHI,"$200,000 "
503,Rakeem Christmas,IND,"$172,552 "
504,DeAndre Liggins,NOP,"$172,238 "
505,Sean Kilpatrick,LAC,"$172,238 "
506,Rashad Vaughn,ORL,"$166,258 "
507,Troy Williams,NYK,"$148,318 "
508,Travis Wear,LAL,"$148,318 "
509,Carrick Felix,WAS,"$140,902 "
510,Brandon Rush,POR,"$119,602 "
511,Brandon Jennings,MIL,"$119,010 "
512,Derrick Williams,LAL,"$104,059 "
513,K.J. McDaniels,TOR,"$100,000 "
514,Marshall Plumlee,NYK,"$100,000 "
515,Georges Niang,IND,"$100,000 "
516,Quinn Cook,ATL,"$100,000 "
517,Demetrius Jackson,BOS,"$92,858 "
518,Kyle Collinsworth,DAL,"$92,160 "
519,Josh Gray,PHO,"$92,160 "
520,Naz Mitrou-Long,UTA,"$92,160 "
521,Shaquille Harrison,PHO,"$92,160 "
522,"Walt Lemon, Jr.",NOP,"$92,160 "
523,Antonius Cleveland,ATL,"$92,160 "
524,Jaylen Morris,ATL,"$92,160 "
525,Mike James,PHO,"$87,552 "
526,Jarell Eddie,BOS,"$83,129 "
527,Jarell Eddie,CHI,"$83,129 "
528,Briante Weber,MEM,"$83,129 "
529,Demetrius Jackson,HOU,"$74,159 "
530,Georgios Papagiannis,POR,"$74,159 "
531,Larry Drew,NOP,"$74,159 "
532,Scotty Hopson,DAL,"$74,159 "
533,Isaiah Canaan,HOU,"$53,465 "
534,Tyler Cavanaugh,ATL,"$50,000 "
